mag, bv, long, lat
-1.0876,0.009,101.2872,-16.7161
-0.5536,0.164,95.988,-52.6957
0.0868,-0.001,-80.7653,38.7837
0.1114,1.239,-146.0847,19.1824
0.193,-0.03,78.6345,-8.2016
0.2385,0.795,79.1723,45.998
0.4233,-0.158,24.4285,-57.2368
0.4607,0.432,114.8255,5.225
0.4997,1.5,88.7929,7.4071
0.5366,-0.231,-149.0441,-60.373
0.6739,-0.243,-173.3504,-63.0991
0.8273,0.221,-62.3042,8.8683
0.8891,-0.235,-158.7018,-11.1613
0.9757,1.865,-112.6481,-26.432
1.0024,1.538,68.9802,16.5093
1.1537,-0.238,-168.0697,-59.6888
1.1808,0.145,-15.5873,-29.6222
1.2429,0.9,-140.1039,-60.8375
1.2947,0.991,116.329,28.0262
1.2966,0.092,-49.642,45.2803
1.3232,-0.087,152.093,11.9672
1.416,-0.211,104.6565,-28.9721
1.5244,-0.231,-96.5978,-37.1038
1.5493,-0.224,81.2828,6.3497
1.5811,0.034,113.6495,31.8883
1.6151,-0.13,81.573,28.6075
1.6235,-0.184,84.0534,-1.2019
1.6299,1.6,-172.2085,-57.1132
1.6625,0.07,138.2999,-69.7172
1.6812,-0.199,85.1897,-1.9426
1.6983,-0.07,-27.9417,-46.961
1.7034,-0.145,122.3831,-47.3366
1.7545,-0.022,-166.4927,55.9598
1.7994,-0.099,-153.1148,49.3133
1.8583,-0.118,-53.5881,-56.7351
1.8911,-0.24,95.6749,-17.9559
1.8972,0.481,51.0807,49.8612
1.9038,0.077,89.8822,44.9474
1.9269,0.406,-95.6703,-42.9978
1.929,0.001,99.428,16.3993
1.9511,0.043,131.1759,-54.7088
1.9519,1.061,165.932,61.751
1.9628,0.671,107.0979,-26.3932
1.9996,1.196,125.6285,-59.5095
2.0065,-0.168,86.9391,-9.6696
2.0095,-0.134,-76.1836,-26.2967
2.0371,-0.038,2.0969,29.0904
2.0699,1.61,-19.3331,-46.8846
2.0711,1.447,-107.8338,-69.0277
2.0969,-0.003,47.0422,40.9556
2.1077,0.636,37.9546,89.2641
2.1262,0.155,-96.2664,12.56
2.135,1.44,141.8968,-8.6586
2.1361,-0.175,83.0017,-0.2991
2.1364,-0.269,120.896,-40.0031
2.1379,-0.046,14.1772,60.7167
2.146,-0.023,-169.6207,-48.9599
2.1605,0.09,177.2649,14.5721
2.1684,1.128,154.9931,19.8415
2.1726,1.151,31.7934,23.4624
2.1741,1.576,17.433,35.6206
2.2044,1.465,-137.3236,74.1555
2.2061,1.019,10.8974,-17.9866
2.2097,-0.171,-155.0281,-53.4664
2.221,0.032,-126.328,26.7147
2.2226,1.011,-148.3294,-36.37
2.2296,-0.154,-139.5177,-47.3882
2.2409,1.37,30.9748,42.3297
2.254,0.057,-159.0186,54.9254
2.2617,-0.117,-119.9166,-22.6217
2.2729,-0.157,-141.1232,-42.1578
2.2822,0.189,139.2725,-59.2752
2.3164,-0.171,-94.378,-39.03
2.3385,1.665,136.999,-43.4326
2.3499,0.033,165.4603,56.3824
2.3548,0.673,-54.4429,40.2567
2.3579,0.38,2.2945,59.1498
2.3617,1.521,-90.8485,51.4889
2.4107,1.17,10.1268,56.5373
2.4131,-0.141,140.5284,-55.0107
2.4215,-0.083,111.0238,-29.3031
2.4286,0.044,178.4577,53.6948
2.4393,0.059,-102.4055,-15.7249
2.4532,1.144,-107.4591,-34.2932
2.4784,-0.002,-13.8098,15.2053
2.4861,1.655,-14.0564,28.0828
2.5141,0.257,-40.3551,62.5856
2.5167,0.966,-138.7533,27.0742
2.5241,-0.128,-177.9104,-50.7224
2.546,1.52,-33.9535,9.875
2.5477,-0.107,-176.0485,-17.5419
2.5512,1.083,6.571,-42.306
2.5708,0.038,-110.7103,-10.5671
2.5739,-0.071,-130.7483,-9.3829
2.5932,0.128,168.5271,20.5237
2.594,-0.065,-118.6407,-19.8055
2.5982,-0.184,-135.367,-43.134
2.6043,-0.179,-97.309,-37.2958
2.6103,-0.083,89.9303,37.2126
2.6109,-0.176,-170.7041,-69.1356
2.6124,-0.12,84.9123,-34.0741
